Freq.	V(n003)	V(n002)	V(n001)	I(C1)	I(L1)	I(R2)	I(R1)	I(V1)
1.64471729421477e+05	1.27886494595887e-05,-2.53281630819846e-03	9.99998921102745e-01,2.13677593999319e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920350616966e-09,1.53454903740738e-11	1.16260480024660e-02,-2.30256028016507e+00	1.16260449632624e-02,-2.30256028018042e+00	-1.16260480026634e-02,2.30256028016507e+00	-1.16260480026540e-02,2.30256028016507e+00
1.64850875914878e+05	1.27298924284074e-05,-2.52699128833307e-03	9.99998926059702e-01,2.13186174141586e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03920386215903e-09,1.53101985004491e-11	1.15726325195742e-02,-2.29726480756021e+00	1.15726294803704e-02,-2.29726480757552e+00	-1.15726325206163e-02,2.29726480756021e+00	-1.15726325202559e-02,2.29726480756021e+00
1.65230896431212e+05	1.26714053475921e-05,-2.52117966360407e-03	9.99998930993885e-01,2.12695884346272e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920421651287e-09,1.52749877834939e-11	1.15194624461061e-02,-2.29198151235206e+00	1.15194594069019e-02,-2.29198151236734e+00	-1.15194624469084e-02,2.29198151235206e+00	-1.15194624468131e-02,2.29198151235206e+00
1.65611792985311e+05	1.26131869769587e-05,-2.51538140321753e-03	9.99998935905398e-01,2.12206722015483e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920456923867e-09,1.52398580366381e-11	1.14665366546216e-02,-2.28671036654616e+00	1.14665336154170e-02,-2.28671036656139e+00	-1.14665366545677e-02,2.28671036654616e+00	-1.14665366545523e-02,2.28671036654616e+00
1.65993567596650e+05	1.25552360820204e-05,-2.50959647645025e-03	9.99998940794347e-01,2.11718684557301e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920492034394e-09,1.52048090737398e-11	1.14138540228599e-02,-2.28145134221230e+00	1.14138509836550e-02,-2.28145134222750e+00	-1.14138540214076e-02,2.28145134221230e+00	-1.14138540211570e-02,2.28145134221230e+00
1.66376222289360e+05	1.24975514339610e-05,-2.50382485264958e-03	9.99998945660833e-01,2.11231769385757e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920526983610e-09,1.51698407090849e-11	1.13614134337153e-02,-2.27620441148445e+00	1.13614103945100e-02,-2.27620441149962e+00	-1.13614134336158e-02,2.27620441148445e+00	-1.13614134334057e-02,2.27620441148445e+00
1.66759759092238e+05	1.24401318096091e-05,-2.49806650123329e-03	9.99998950504962e-01,2.10745973920822e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920561772256e-09,1.51349527573856e-11	1.13092137752139e-02,-2.27096954656058e+00	1.13092107360083e-02,-2.27096954657571e+00	-1.13092137761841e-02,2.27096954656058e+00	-1.13092137762578e-02,2.27096954656058e+00
1.67144180038759e+05	1.23829759914122e-05,-2.49232139168937e-03	9.99998955326834e-01,2.10261295588393e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920596401072e-09,1.51001450337798e-11	1.12572539404898e-02,-2.26574671970251e+00	1.12572509012838e-02,-2.26574671971761e+00	-1.12572539412819e-02,2.26574671970251e+00	-1.12572539419489e-02,2.26574671970251e+00
1.67529487167084e+05	1.23260827674107e-05,-2.48658949357593e-03	9.99998960126554e-01,2.09777731820281e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920630870791e-09,1.50654173538301e-11	1.12055328277615e-02,-2.26053590323578e+00	1.12055297885552e-02,-2.26053590325085e+00	-1.12055328282573e-02,2.26053590323578e+00	-1.12055328281713e-02,2.26053590323578e+00
1.67915682520072e+05	1.22694509312125e-05,-2.48087077652097e-03	9.99998964904221e-01,2.09295280054193e-04	1.00000000000000e+00,8.67361737988404e-19	3.03920665182143e-09,1.50307695335225e-11	1.11540493403090e-02,-2.25533706954949e+00	1.11540463011023e-02,-2.25533706956452e+00	-1.11540493412435e-02,2.25533706954949e+00	-1.11540493417124e-02,2.25533706954949e+00
